CONTROL,FIRSTOCC,REASON_NOTAVAIL,OWN,LASTRENT,VAC_LENGTH,ASKINGRENT,ASKINGPRICE,I_ASKINGRENT,I_ASKINGPRICE,FW,FW1,FW2,FW3,FW4,FW5,FW6,FW7,FW8,FW9,FW10,FW11,FW12,FW13,FW14,FW15,FW16,FW17,FW18,FW19,FW20,FW21,FW22,FW23,FW24,FW25,FW26,FW27,FW28,FW29,FW30,FW31,FW32,FW33,FW34,FW35,FW36,FW37,FW38,FW39,FW40,FW41,FW42,FW43,FW44,FW45,FW46,FW47,FW48,FW49,FW50,FW51,FW52,FW53,FW54,FW55,FW56,FW57,FW58,FW59,FW60,FW61,FW62,FW63,FW64,FW65,FW66,FW67,FW68,FW69,FW70,FW71,FW72,FW73,FW74,FW75,FW76,FW77,FW78,FW79,FW80
12100085,2,2,2,-1,3,-2,-2,0,0,175.80166914,175.80166914,54.229290245,200.52626334,159.66390275,178.24309385,174.48460509,162.74183607,250.660253,67.399986481,170.77247767,324.02290047,177.46192634,149.02286482,205.50710501,58.467607128,157.60658735,297.95904388,153.76036123,189.99578495,56.776452557,299.34481214,53.686794927,286.57532594,60.307776266,340.60398724,43.177077647,392.58137797,37.535002012,238.29136848,154.74493325,300.39362696,175.84776841,55.90636051,144.13162434,212.49024287,153.34130217,341.12963037,157.59784636,53.848172182,275.2399721,204.16795669,148.34683804,211.66856924,182.37871048,195.29727202,49.089859933,312.33569664,61.073113501,161.61841195,276.47537788,47.426329924,364.29287207,179.07287114,167.9710429,190.54745506,49.429566999,218.26090118,254.08229116,155.63801959,59.927745502,265.22628586,165.80237977,185.58381344,57.019685355,186.80351477,291.26260338,47.096360409,160.44911627,329.73244422,170.38585407,48.033195445,163.55912983,181.34045488,180.28684431,336.56206039,43.698396786,300.88721416,153.29040954,54.912897989,301.60978397
12100093,2,5,2,1700,6,2,-2,0,0,410.24758351,410.24758351,420.46784745,407.85603197,404.07533922,121.47624377,695.46441561,120.85909491,418.18461276,702.23586665,119.12556622,703.1405117,413.35138056,405.30291198,420.08598953,119.94893392,406.44475253,684.56535845,419.63539648,118.44363031,704.86184236,416.76274574,408.57688421,122.08210895,415.42389038,694.24895905,122.23843471,398.76454565,706.11480726,416.96901462,121.31591796,403.05210018,419.08981611,403.01238259,697.69827886,119.54214299,710.65600668,418.0450101,121.91469019,689.85954838,121.85739859,410.61119223,404.67798027,417.57604626,405.8657589,410.59021442,707.61007787,118.34891647,418.92641003,701.37781545,413.81820427,410.00300366,402.95671102,122.41871992,403.79015272,702.69457633,416.72013549,414.36808887,119.36747179,687.67969617,122.34108675,716.42914076,120.85035735,705.48315852,118.74447595,707.6219072,119.15340936,417.70611471,416.32593758,705.4180681,405.69367907,123.64540326,399.49808732,417.33095634,399.08952302,708.94035335,406.15571232,121.67361846,694.13267314,407.14247414,417.84595132
12100108,2,8,2,0,6,-2,-2,0,0,409.54800921,409.54800921,414.66462588,701.34676292,689.02326327,414.17891611,699.3181578,703.83013969,703.67189601,406.63444118,410.84997983,701.96155016,412.18590708,405.04204605,721.53298849,698.92816643,404.64640824,404.68828809,413.78859865,413.08690947,703.58276175,407.25227453,711.047202,703.43339103,410.72867521,693.28406056,411.98041847,402.57265242,417.47771018,411.39568073,417.54998072,410.05900682,707.74768813,403.03615483,407.94930167,701.83950616,702.46342495,696.75335053,710.13084168,399.63985216,414.12803459,699.80268283,690.41779905,710.7866098,405.84401848,706.58743937,409.46033876,695.66774068,410.62671255,705.23054288,417.75238857,697.43113631,402.76067301,420.0519701,403.64930592,705.2313282,703.06945783,414.26264067,402.90681567,410.5219121,416.66560213,706.89166866,696.22179747,412.34869216,697.48213344,707.25787067,685.23757345,699.42046007,701.72605426,705.25400556,408.83543017,710.4564773,403.0010207,417.24366848,693.96298225,410.33843166,707.27878808,699.43412322,693.75507923,693.79229009,413.21162564
12100132,2,1,-1,-2,-1,-2,-2,0,0,306.9248011,306.9248011,301.09780973,93.742276233,523.5748621,91.911628758,303.22697208,310.13647854,301.39911067,304.49300831,298.81740889,522.88138713,88.459847018,308.14000751,522.01912688,311.14857834,303.81784571,314.60113157,89.816722574,299.61298561,526.0967738,310.50659389,295.52149233,91.556936134,518.08685369,91.675358749,520.22170106,90.345790681,509.6167375,92.193499634,490.14821987,92.574879088,309.84546094,306.20063244,508.47944321,305.32479027,93.597384427,304.86984544,308.67601294,311.28547287,529.96350983,293.88162173,92.454840122,514.33162523,323.18666789,287.46519833,312.92309806,297.59130492,304.2832435,89.140910158,519.93827502,93.814265709,313.67589402,507.3209845,90.163605411,537.47641419,301.01314363,299.11294409,320.20961736,90.369591876,305.17566428,499.35051553,315.86957579,88.855801115,517.25666633,309.07544317,305.2808343,90.325585353,306.51639068,526.03374758,88.651444106,308.60834889,522.31006724,302.92203974,90.050632018,304.0207015,296.43950991,310.32931798,529.96757137,90.733701603,519.40516409
12100151,2,8,2,550,6,-2,-2,0,0,409.54800921,409.54800921,121.452457,701.34676292,118.2177024,414.17891611,699.3181578,120.75816076,703.67189601,406.63444118,410.84997983,411.19955582,120.72645708,405.04204605,721.53298849,409.42264077,118.51818899,690.84612086,413.78859865,413.08690947,120.71571741,407.25227453,711.047202,120.69008945,410.72867521,693.28406056,411.98041847,117.91079997,417.47771018,411.39568073,417.54998072,700.01451123,121.43030581,688.02575297,407.94930167,120.41662204,702.46342495,119.54397569,415.985016,399.63985216,414.12803459,409.93492062,404.43738298,710.7866098,118.86896091,413.90933898,698.99252093,407.51272758,410.62671255,413.11448742,122.35684175,408.54570083,687.55547608,420.0519701,403.64930592,120.9985667,703.06945783,121.33471826,687.80495722,120.23908423,711.29267488,121.28343608,696.22179747,120.77413572,408.57557426,414.30206854,685.23757345,409.71101971,120.39715677,413.12823154,408.83543017,416.17576893,687.96577527,417.24366848,119.06522418,700.49151926,414.31432168,409.7190234,406.39231645,406.41411407,413.21162564
12100165,2,-2,1,-2,5,-2,1,0,1,161.31412093,161.31412093,159.69271936,48.842460993,154.39402977,167.45550152,265.78367677,159.98171238,158.92946671,47.668362143,281.53359563,157.42534653,272.31114437,47.759512898,287.1511673,152.81277318,281.55509759,45.083797183,162.74424246,163.44570204,265.63788805,158.6132609,163.48740065,47.397874494,161.53092893,263.03013136,49.6801265,44.838171732,48.293439384,50.001576508,155.62879046,164.2720868,157.51077506,157.21770448,284.07744331,263.1573742,157.8124954,270.63565095,154.32995051,48.782061815,162.93472521,47.087420778,158.52030839,271.25795699,45.781290319,154.67827698,293.24298214,153.25476281,170.92401574,47.929154681,151.91212105,277.35307936,159.26012986,157.32386181,272.3757647,163.17878878,160.98185976,155.7763103,163.40343257,264.14282766,160.49796534,49.541523125,281.82262478,151.45257333,47.448671169,152.22519581,48.735400537,168.49949737,258.08526181,165.41151704,266.12875888,253.47758687,170.75006036,162.66712374,152.82336004,163.57111559,49.011731266,46.540154441,49.719461433,43.975040686,270.89804875
12100218,1,3,-2,-2,-2,-2,-2,0,0,74.602263027,74.602263027,68.225951159,134.64575228,23.219967556,69.839008771,132.06792297,71.441872046,77.980567135,70.31010348,23.878152226,71.767863663,128.38398755,72.226614121,74.795350252,23.842626361,128.92420171,21.713490868,125.76719121,21.679861188,124.46382503,23.312486888,129.72732488,19.519741461,79.932822036,71.281050998,122.91024562,75.412521661,21.840502768,77.674767677,73.708922873,68.60946448,135.11099036,79.882068907,20.137641297,138.73440836,67.864301494,80.890556078,68.896312972,81.559024385,74.614043156,22.604195782,121.00779306,22.174148333,76.660222638,124.45759729,22.735508255,123.21855898,78.29126932,75.627404247,75.902389871,21.00959178,72.590339479,121.43200055,86.002404551,21.566622983,121.40235883,79.587637669,68.82153716,21.900505912,78.9052879,131.91253894,19.508497947,82.676873896,124.88342876,79.19162738,20.544678653,72.595639962,74.400475272,70.471337067,138.94082598,20.982413505,120.39100616,79.851747314,21.646981666,126.79566838,22.011965813,74.394106162,72.316463382,79.700888915,76.177507478
12100230,2,-2,2,1750,3,2,-2,0,0,671.69829174,671.69829174,662.34464595,190.88917778,1198.1872843,190.11351351,1176.9710272,188.70569174,1197.1106139,186.33347593,1166.9119889,196.68765587,713.9417536,622.22425022,1184.6491606,662.40090742,206.73031712,652.40357164,680.54626656,661.72081627,1118.4617656,681.24530773,201.6296655,1109.9058389,684.17606879,646.71552728,714.14145617,626.61891483,674.15639591,202.71250963,1136.374702,180.11585883,672.63827103,1230.902557,190.88317577,1132.3411058,647.15017517,686.79267519,677.00405181,188.77439586,669.61356404,1138.5235785,687.57731589,181.0612607,1144.0430447,764.03120994,640.40211575,194.0914659,700.60138898,1155.4029435,199.32069961,627.21683758,1192.9105173,635.82586881,200.24390851,692.30906253,632.54981213,678.9653111,1173.2318264,190.42736729,1194.4506479,629.88188623,200.02810277,1136.9019409,211.9334606,666.93137154,662.62093855,657.70142327,663.08157068,661.74048553,1153.2810896,195.35598874,662.62901875,1140.5323394,656.86335668,656.04704303,696.29268494,193.0072396,686.03857904,1130.0125743,671.4393406
12100242,2,3,1,-2,-2,-2,-2,0,0,85.354412307,85.354412307,85.086254721,146.34551033,88.775821202,23.535836802,88.08531158,82.671795631,86.277262177,137.03798581,25.658494556,146.86786903,91.352742785,23.002336502,152.13704555,24.198567252,90.600182668,84.111865103,84.723525615,84.546080706,85.821415266,146.67234737,25.812443019,81.692610831,149.86715692,79.869771561,91.888547485,77.71746483,25.064137156,87.758009251,144.501331,79.017469562,86.479371644,26.875464894,139.93072335,24.852153503,139.61829418,25.322593667,151.01783438,23.434781526,145.34330432,24.282106471,90.091166977,78.363227891,147.09234242,94.057538279,23.972914721,84.242464705,89.031041442,85.153245105,146.42340487,82.315778812,25.558628586,138.61007679,88.249627482,87.794637855,81.529768771,84.70281868,88.577892993,24.348429264,152.14079043,23.083326883,85.798816617,148.52714699,25.805487107,143.04917346,87.025418217,83.959754488,83.502543037,25.324485335,85.383529722,143.43032983,86.3260707,23.877236176,148.23906217,82.665809008,84.976044922,24.512777439,88.078834797,142.43637108,24.856840723
12100246,2,2,-1,-2,-1,-2,-2,0,0,414.56343815,414.56343815,421.50058708,694.41007389,121.78417235,423.09503116,704.56576553,411.58747014,424.74030013,121.29133174,415.138513,692.31196688,419.64270442,414.80630538,715.43707027,412.23818827,414.99970589,411.42442986,411.98072549,699.99922322,415.80210317,121.41369798,724.53927619,411.63341589,124.21543369,411.85201794,122.27138219,414.46919589,703.3652919,419.26037101,714.47540059,700.22392988,419.12440549,404.99174344,419.99593432,413.51410777,122.6107604,123.79604087,125.49355406,119.68473805,707.62638306,407.45289363,121.25187589,429.61541879,410.90753817,707.01607058,411.71646617,418.0143714,121.31770666,715.05386366,417.97852183,709.37704729,119.13972703,726.50786553,404.502615,709.60206493,122.80157463,423.86103057,406.57110728,692.91058437,424.25572141,419.31249184,122.4316008,424.9198563,700.26653068,122.52931862,121.78004325,122.53528617,122.4136509,416.45211027,412.72436067,418.81193255,404.74871851,725.16800521,683.4261571,415.21823676,717.63295491,411.5430437,123.43732948,411.61228316,123.18643917
