borough,gross_monthly_rent
1,0584
1,9999
1,9999
1,9999
1,0775
1,9999
1,0775
1,0520
1,9999
1,0690
1,0585
1,0790
1,0682
1,0334
1,9999
1,0832
1,0199
1,0421
1,0153
1,0228
1,9999
1,1000
1,0700
1,0400
1,0800
1,9999
1,1043
1,0747
1,0796
1,0451
1,0630
1,0188
1,0154
1,0350
1,9999
1,9999
1,0700
1,9999
1,9999
1,0716
1,0417
1,0417
1,0700
1,9999
1,0710
1,0525
1,0406
1,0415
1,0425
1,0416
1,0146
1,0161
1,0193
1,0205
1,0196
1,0605
1,0565
1,0450
1,9999
1,1063
1,0357
1,0447
1,0348
1,0646
1,0615
1,0665
1,0585
1,0476
1,0811
1,0590
1,0359
1,0170
1,0164
1,0145
1,0250
1,0171
1,0442
1,0472
1,0173
1,0683
1,0794
1,0181
1,9999
1,0500
1,0666
1,0701
1,0698
1,0687
1,1117
1,0917
1,0617
1,0540
1,0374
1,0615
1,0560
1,0509
1,0150
1,0331
1,0153
1,0315
1,0153
1,0117
1,0132
1,0196
1,0207
1,0180
1,0136
1,0144
1,0495
1,0200
1,0125
1,0150
1,0137
1,0235
1,0229
1,0374
1,0197
1,0137
1,0177
1,0433
1,0137
1,0214
1,0195
1,0309
1,0420
1,0510
1,0185
1,1065
1,0925
1,0520
1,1520
1,0173
1,0158
1,0154
1,9999
1,0247
1,0168
1,0806
1,0149
1,0149
1,0625
1,0596
1,0451
1,0401
1,0163
1,0164
1,0387
1,0170
1,0495
1,0170
1,0356
1,0340
1,0170
1,0170
1,0137
1,0170
1,0170
1,0700
1,0640
1,0582
1,0450
1,0576
1,0718
1,0770
1,0495
1,0182
1,0300
1,1454
1,0495
1,0173
1,0495
1,0681
1,0260
1,0164
1,0336
1,0176
1,0176
1,0176
1,0375
1,0250
1,0349
1,0286
1,0477
1,0625
1,0570
1,0860
1,0949
1,9999
1,9999
1,0160
1,9999
1,9999
1,0490
1,0523
1,0495
1,0485
1,0524
1,0260
1,1275
1,1671
1,0817
1,0400
1,9999
1,1042
1,0542
1,0532
1,0605
1,0572
1,0547
1,9999
1,0594
1,0595
1,0630
1,0680
1,0495
1,0430
1,0300
1,0185
1,0250
1,0969
1,0392
1,0250
1,0170
1,0183
1,0672
1,0203
1,0631
1,0630
1,0631
1,0675
1,0488
1,0565
1,0560
1,0537
1,0494
1,0700
1,0243
1,0590
1,0662
1,0685
1,0450
1,0490
1,0280
1,0179
1,0750
1,0638
1,0440
1,0342
1,0570
1,0279
1,0310
1,0392
1,0328
1,0382
1,0565
1,0600
1,0600
1,0678
1,0161
1,0170
1,0655
1,0624
1,0573
1,0708
1,0608
1,0231
1,0420
1,0695
1,0442
1,0235
1,0805
1,0140
1,0153
1,0247
1,0245
1,0349
1,0900
1,0806
1,0164
1,0950
1,1079
1,1066
1,0964
1,0690
1,0685
1,0649
1,0610
1,0688
1,9999
1,9999
1,0191
1,0615
1,0534
1,0629
1,0600
1,0650
1,0850
1,0850
1,0338
1,0286
1,0349
1,0500
1,0660
1,0510
1,0901
1,0625
1,0580
1,0530
1,0585
1,0622
1,0542
1,0542
1,0700
1,0384
1,0659
1,0643
1,0375
1,0587
1,0235
1,0220
1,0169
1,0137
1,0619
1,0153
1,1493
1,0768
1,0369
1,0595
1,0872
1,0337
1,0600
1,0590
1,0443
1,0731
1,1156
1,0508
1,0402
1,0712
1,0980
1,0534
1,0571
1,0484
1,0117
1,0117
1,0153
1,0550
1,0365
1,0475
1,0557
1,0746
1,0650
1,0564
1,0630
1,1195
1,0818
1,1150
1,0495
1,0325
1,0410
1,0200
1,0170
1,0174
1,0336
1,0326
1,0173
1,0315
1,0265
1,0421
1,0137
1,0380
1,0164
1,0410
1,0695
1,0213
1,0255
1,0246
1,0170
1,0151
1,0339
1,0153
1,0480
1,0434
1,0582
1,0818
1,9999
1,0700
1,9999
1,9999
1,9999
1,9999
1,9999
1,9999
1,9999
1,9999
1,0680
1,0670
1,0640
1,0726
1,0211
1,0641
1,0703
1,0633
1,0120
1,0255
1,0310
1,0272
1,0750
1,0900
1,0625
1,0497
1,0632
1,0513
1,0578
1,0880
1,1132
1,0620
1,0900
1,0540
1,0501
1,1197
1,1197
1,0324
1,0864
1,0680
1,0680
1,0585
1,0593
1,0575
1,0680
1,0517
1,0747
1,0674
1,0687
1,0400
1,0812
1,0291
1,0641
1,9999
1,1376
1,1000
1,0545
1,0485
1,0586
1,0524
1,0559
1,0535
1,0690
1,0600
1,0479
1,0522
1,0675
1,0860
1,0175
1,0194
1,0175
1,0365
1,0478
1,9999
1,0355
1,1025
1,0275
1,0415
1,0440
1,0275
1,9999
1,0592
1,0858
1,0585
1,0640
1,0505
1,0468
1,0698
1,0211
1,0605
1,0585
1,0429
