borough,gross_monthly_rent,income
3,01460,0040000
2,02030,0115600
2,01298,0074000
2,01324,0110000
2,99999,0050000
2,02435,0040000
3,99999,0040000
2,01290,0009804
4,01250,0040000
4,01285,0044000
1,99999,0021600
2,01400,0073000
1,00520,0024000
3,00330,0017600
3,01500,0078000
4,99999,0075000
2,99999,0007800
4,99999,0024000
3,00355,0018090
2,99999,0045000
4,99999,0049350
4,99999,0085000
2,01690,0050000
4,99999,0100000
2,99999,0070000
3,03370,0185000
3,99999,0034000
4,99999,0222000
2,01670,0110000
2,01040,0060000
1,00906,0042928
2,99999,0053362
3,01250,0140000
1,01260,0090000
2,01118,0006400
4,00880,0163000
4,99999,0155000
4,01280,0078000
2,01295,0036400
5,01100,0070000
2,00891,0035425
2,02080,0085000
3,99999,0340000
1,00800,0008400
3,01494,0160910
2,99999,0078500
4,99999,0053910
3,99999,0100000
1,01150,0040000
3,02000,0150000
3,99999,0124000
4,99999,0012124
3,01022,0043200
3,01243,0090000
1,00584,0048204
2,01250,0033000
2,01264,0007487
2,01168,0036000
2,01650,0034956
3,99999,0054000
4,01765,0163000
5,99999,0039600
1,02600,0097500
2,02700,0092200
1,01650,0063000
4,99999,0023000
1,01500,0024960
3,02360,0036000
5,00965,0060000
2,01350,0044000
2,01450,0087000
4,99999,0137000
4,01125,0044744
3,00220,0002400
2,01308,0002860
4,99999,0021760
2,99999,0108910
3,01200,0020000
1,99999,0066200
5,01200,0107000
3,07748,0300000
2,04600,0147000
4,01755,0078000
3,00382,0019200
3,99999,0002220
2,99999,0078000
5,99999,0078000
4,02450,0135000
1,01395,0024000
4,01325,0014400
2,01317,0033300
1,00912,0063480
4,99999,0060000
4,99999,0046792
2,99999,0096000
2,00450,0029828
4,01655,0110000
3,00463,0041532
3,01113,0162000
1,01400,0114000
1,99999,0050000
1,01200,0062000
2,01695,9999999
2,01200,0085000
4,99999,0098600
1,99999,0044400
3,99999,0101000
3,02560,0861502
4,99999,0185000
2,99999,0085000
2,99999,0190000
1,99999,0111670
2,02680,0160000
4,99999,0007800
4,02150,0065160
2,01215,0048000
3,01890,0864502
2,03000,0160000
4,01600,0090000
2,01790,0030000
2,01700,0054000
4,00600,0026000
2,01120,0010200
2,01090,0101000
4,99999,0016800
2,03685,0011400
2,99999,0170000
2,01020,0042000
3,00475,0027692
2,99999,0202000
2,99999,0056000
3,02199,0132000
3,00402,0023724
2,01200,0075600
1,01718,0016800
1,99999,0002700
3,02630,0205000
2,01125,0047000
3,03380,0235500
3,00600,0014256
4,01720,0065600
2,99999,0032200
1,99999,0104000
5,99999,0110000
2,99999,0040000
3,99999,0056200
1,00215,0002196
1,01230,0072000
2,99999,0013296
3,01895,0039200
2,01225,0018000
4,01839,0046900
1,99999,0005696
4,01460,0064500
4,01625,0065000
3,01800,0120000
4,01470,0040000
3,99999,1381796
3,07748,0340000
4,99999,0081000
2,02005,0122000
2,01540,0067500
2,99999,0114000
2,01488,0036000
4,02220,0132000
4,01550,0085000
4,00880,0017016
4,99999,0042760
3,00603,0020400
4,01380,0022500
3,99999,0221500
2,01310,0120000
3,00875,0040000
4,01562,0045000
3,02590,0028800
3,00740,0019400
3,00367,0021540
2,99999,0135000
3,01480,0013000
4,01550,0020000
2,01000,0065000
1,99999,0086000
5,01192,0025000
3,00610,0012260
4,99999,0012564
3,00249,0009600
1,01650,9999999
2,01183,0092000
2,99999,0075000
2,03120,0173000
4,01370,0029000
3,99999,0300000
3,00302,0010800
5,99999,0015904
2,99999,9999999
4,99999,0001900
4,02050,0140000
3,01100,0050000
2,01269,0070000
1,00755,0038800
1,01220,0156000
1,99999,0150000
4,99999,0002605
4,01100,0117000
3,00703,0034848
4,01450,0119372
4,01260,0060000
1,01750,0028784
4,01680,0035000
4,01060,0125000
4,99999,0170800
1,99999,0032000
1,01543,0004000
2,00745,0010000
5,00820,0013188
3,07748,0275000
5,99999,0011000
4,99999,0050000
3,00432,0043000
3,01555,0057000
2,00214,0018732
4,01458,0029600
2,01315,0016000
5,99999,0200000
2,01836,0079000
2,99999,0075000
4,01685,0060000
2,00300,0011000
3,00377,0025400
1,99999,0083200
2,99999,0028400
1,01360,0036400
2,00805,0040000
2,01119,0010600
2,99999,0018000
2,01061,0100000
3,01414,0012000
1,00950,0055000
2,00660,0107200
3,01395,0037400
2,00350,0010000
3,99999,0066000
2,99999,1005502
4,01185,0034100
5,99999,0028442
3,02720,0085000
3,99999,0215000
4,01363,9999999
4,99999,0030100
2,99999,0255622
1,01480,0055000
4,99999,0452000
2,01565,0018000
2,02580,9999999
1,00225,0008000
4,01065,0030000
2,00900,0035000
3,99999,0015740
4,01395,0097000
1,00600,0021000
3,02917,0355000
3,00850,0063000
4,99999,0124000
3,99999,0089710
2,99999,0041000
4,01335,0018000
4,99999,0076000
3,01913,0086000
1,01470,0021100
2,99999,0230000
4,99999,0131825
4,00820,0012936
3,99999,0212000
5,99999,0025000
4,02650,0100000
3,00477,0085000
4,01260,0030000
5,99999,0027000
3,00795,0028000
